[t,Sku,Regular Price,Stock,Image URL,On Ebay,Group,Person Name,C:Team,C:League
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0409),AidraF1302018RY0409,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0409.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,8,Aidra Fox,a,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0410),AidraF1302018RY0410,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0410.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,8,Aidra Fox,a,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0411),AidraF1302018RY0411,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0411.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,8,Aidra Fox,a,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0412),AidraF1302018RY0412,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0412.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,9,Aidra Fox,tsrb,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0414),AidraF1302018RY0414,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0414.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,9,Aidra Fox,tsrb,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0416),AidraF1302018RY0416,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0416.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,9,Aidra Fox,tsrb,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0418),AidraF1302018RY0418,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0418.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,9,Aidra Fox,tsrb,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0419),AidraF1302018RY0419,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0419.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,10,Aidra Fox,tsrc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0420),AidraF1302018RY0420,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0420.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,10,Aidra Fox,tsrc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0421),AidraF1302018RY0421,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0421.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,10,Aidra Fox,tsrc,
